valid_tn_step,step,valid_tp_step,valid_fp_step,valid_fn_step,valid_WAcc,valid_F1,valid_fn_epoch,valid_Loss,valid_tp_epoch,epoch,valid_tn_epoch,valid_fp_epoch
11161.0,463,32.0,288.0,135.0,,,,,,,,
11146.0,464,33.0,287.0,150.0,,,,,,,,
11178.0,465,28.0,292.0,118.0,,,,,,,,
11152.0,466,36.0,284.0,144.0,,,,,,,,
11187.0,467,36.0,284.0,109.0,,,,,,,,
11155.0,468,26.0,294.0,141.0,,,,,,,,
11144.0,469,40.0,280.0,152.0,,,,,,,,
11156.0,470,30.0,290.0,140.0,,,,,,,,
11184.0,471,32.0,288.0,112.0,,,,,,,,
11176.0,472,27.0,293.0,120.0,,,,,,,,
11165.0,473,23.0,297.0,131.0,,,,,,,,
11179.0,474,22.0,298.0,117.0,,,,,,,,
11177.0,475,25.0,295.0,119.0,,,,,,,,
11161.0,476,28.0,292.0,135.0,,,,,,,,
11168.0,477,27.0,293.0,128.0,,,,,,,,
11171.0,478,32.0,288.0,125.0,,,,,,,,
11163.0,479,28.0,292.0,133.0,,,,,,,,
11157.0,480,27.0,293.0,139.0,,,,,,,,
11157.0,481,29.0,291.0,139.0,,,,,,,,
11170.0,482,25.0,295.0,126.0,,,,,,,,
11148.0,483,22.0,298.0,148.0,,,,,,,,
11175.0,484,34.0,286.0,121.0,,,,,,,,
11174.0,485,21.0,299.0,122.0,,,,,,,,
11161.0,486,23.0,297.0,135.0,,,,,,,,
11157.0,487,28.0,292.0,139.0,,,,,,,,
11181.0,488,27.0,293.0,115.0,,,,,,,,
11160.0,489,25.0,295.0,136.0,,,,,,,,
11154.0,490,32.0,288.0,142.0,,,,,,,,
11160.0,491,32.0,288.0,136.0,,,,,,,,
11161.0,492,29.0,291.0,135.0,,,,,,,,
11156.0,493,32.0,288.0,140.0,,,,,,,,
11168.0,494,25.0,295.0,128.0,,,,,,,,
11172.0,495,23.0,297.0,124.0,,,,,,,,
