valid_tn_step,valid_fp_step,valid_tp_step,valid_fn_step,step,valid_tp_epoch,valid_fn_epoch,valid_F1,epoch,valid_Loss,valid_fp_epoch,valid_tn_epoch,valid_WAcc
10134.0,1338.0,70.0,74.0,444,,,,,,,,
10139.0,1320.0,88.0,69.0,445,,,,,,,,
10119.0,1320.0,88.0,89.0,446,,,,,,,,
10119.0,1342.0,66.0,89.0,447,,,,,,,,
10129.0,1331.0,77.0,79.0,448,,,,,,,,
10122.0,1321.0,87.0,86.0,449,,,,,,,,
10136.0,1311.0,97.0,72.0,450,,,,,,,,
10148.0,1320.0,88.0,60.0,451,,,,,,,,
10145.0,1330.0,78.0,63.0,452,,,,,,,,
10136.0,1330.0,78.0,72.0,453,,,,,,,,
10122.0,1337.0,71.0,86.0,454,,,,,,,,
10134.0,1324.0,84.0,74.0,455,,,,,,,,
10144.0,1328.0,80.0,64.0,456,,,,,,,,
10129.0,1333.0,75.0,79.0,457,,,,,,,,
10122.0,1320.0,88.0,86.0,458,,,,,,,,
10125.0,1311.0,97.0,83.0,459,,,,,,,,
10135.0,1309.0,99.0,73.0,460,,,,,,,,
10135.0,1329.0,79.0,73.0,461,,,,,,,,
10151.0,1333.0,75.0,57.0,462,,,,,,,,
10130.0,1319.0,89.0,78.0,463,,,,,,,,
10121.0,1312.0,96.0,87.0,464,,,,,,,,
10134.0,1336.0,72.0,74.0,465,,,,,,,,
10115.0,1321.0,87.0,93.0,466,,,,,,,,
10143.0,1328.0,80.0,65.0,467,,,,,,,,
10129.0,1320.0,88.0,79.0,468,,,,,,,,
10124.0,1300.0,108.0,84.0,469,,,,,,,,
10122.0,1324.0,84.0,86.0,470,,,,,,,,
10138.0,1334.0,74.0,70.0,471,,,,,,,,
10141.0,1328.0,80.0,67.0,472,,,,,,,,
10126.0,1336.0,72.0,82.0,473,,,,,,,,
10146.0,1331.0,77.0,62.0,474,,,,,,,,
10139.0,1333.0,75.0,69.0,475,,,,,,,,
10118.0,1335.0,73.0,90.0,476,,,,,,,,
10137.0,1324.0,84.0,71.0,477,,,,,,,,
